lon_round,lat_round,longitude,latitude,names,categories,sources,n_sources
-84.47066,33.86573,-84.47066,33.86573,QUIKTRIP 729,Convenience Store,snap_atlanta_df,1
-84.47037,33.75438,-84.470368,33.7543775,MARTA Market- HE Holmes,Farmers Market,gdf_selected,1
-84.47015,33.7753,-84.47015,33.7753,Continental Seafood Inc  ,Seafood Specialty,snap_atlanta_df,1
-84.4701,33.59058,-84.4701,33.59058,Dollar Tree 1400,Combination Grocery/Other,snap_atlanta_df,1
-84.46976,33.63522,-84.46976,33.63522,Family Dollar 12249,Combination Grocery/Other,snap_atlanta_df,1
-84.4696,33.58929,-84.4696,33.58929,Bp Old National  ,Convenience Store,snap_atlanta_df,1
-84.46948,33.58844,-84.46948,33.58844,Triple S 2022 Investment LLC  ,Convenience Store,snap_atlanta_df,1
-84.46941,33.79449,-84.46941,33.79449,"Doo Drop Inn Marketplace & Beauty Supply, Inc.  ",Convenience Store,snap_atlanta_df,1
-84.46899,33.81343,-84.46899,33.81343,Corner Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.46887,33.59757,-84.46887,33.59757,Caribbean Market  ,Small Grocery Store,snap_atlanta_df,1
-84.46847,33.77602,-84.46847,33.77602,Sr Food & Meat Mart  ,Convenience Store,snap_atlanta_df,1
-84.46844,33.6319,-84.46844,33.6319,Ds Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.46829,33.75204,-84.46829,33.75204,Mlk Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.46809,33.75556,-84.46809,33.75556,Texaco Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.46799,33.66443,-84.46799,33.66443,Fresh Market At Oyun Botanical Gardens  ,Farmers' Market,snap_atlanta_df,1
-84.4679,33.75165,-84.4679,33.75165,Mlk Chevron 2456 Llc  ,Convenience Store,snap_atlanta_df,1
-84.46673,33.75229,-84.46673,33.75229,CVS Pharmacy 4717,Combination Grocery/Other,snap_atlanta_df,1
-84.46622,33.66637,-84.46622,33.66637,East Point Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.46544,33.66631,-84.46544,33.66631,Sure Save Food & Beauty  ,Medium Grocery Store,snap_atlanta_df,1
-84.46534,33.70461,-84.46534,33.70461,Bingo Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.46506,33.66654,-84.46506,33.66654,Best For Less  ,Convenience Store,snap_atlanta_df,1
-84.46295,33.80143,-84.46295259999998,33.801432299999995,Outdoor Fresh Farm,AgLanta Grows-A-Lot Site | Farm,gdf_selected,1
-84.46288,33.67041,-84.46288,33.67041,Family Dollar Store 10654,Combination Grocery/Other,snap_atlanta_df,1
-84.4621,33.67014,-84.4621,33.67014,Piggly Wiggly  ,Supermarket,snap_atlanta_df,1
-84.46178,33.61596,-84.46178,33.61596,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.46162,33.72248,-84.46162,33.72248,CVS Pharmacy 5395,Combination Grocery/Other,snap_atlanta_df,1
-84.4611,33.67121,-84.4611,33.67121,Citgo Food Shop  ,Convenience Store,snap_atlanta_df,1
-84.46102,33.78498,-84.46102,33.78498,B And E Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.46084,33.8821,-84.46084,33.8821,DOLLARTREE 11011,Combination Grocery/Other,snap_atlanta_df,1
-84.46066,33.90376,-84.46066,33.90376,CVS PHARMACY 2086,Combination Grocery/Other,snap_atlanta_df,1
-84.46036,33.81834,-84.4603556,33.81834129999999,Marietta Senior Tower (lihtc),Garden,gdf_selected,1
-84.45998,33.75549,-84.45998,33.75549,Verbena Grocery Mart  ,Convenience Store,snap_atlanta_df,1
-84.45976,33.70531,-84.45976,33.70531,Pahi African Caribbean Market 2  ,Small Grocery Store,snap_atlanta_df,1
-84.45944,33.70569,-84.45944,33.70569,Family Dollar 235,Combination Grocery/Other,snap_atlanta_df,1
-84.45877,33.61585,-84.45877,33.61585,Quick & Cheap  ,Convenience Store,snap_atlanta_df,1
-84.45823,33.68916,-84.45823,33.68916,Family Dollar 1788,Combination Grocery/Other,snap_atlanta_df,1
-84.45816,33.70612,-84.45816,33.70612,Amina Mart 1,Convenience Store,snap_atlanta_df,1
-84.45801,33.70651,-84.45801,33.70651,Lucky Food Mart 0,Convenience Store,snap_atlanta_df,1
-84.4576,33.7058,-84.4576,33.7058,Exxon Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.45697,33.70044,-84.45697,33.70044,Food Center ,Convenience Store,snap_atlanta_df,1
-84.45695,33.68886,-84.45695,33.68886,Quick Stop  ,Convenience Store,snap_atlanta_df,1
-84.45693,33.68949,-84.45693,33.68949,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.45685,33.70522,-84.4568508,33.7052209,Super Giant,Grocery Store,gdf_selected,1
-84.45682,33.70111,-84.45682,33.70111,Hungry Mart  ,Convenience Store,snap_atlanta_df,1
-84.45657,33.70105,-84.45657,33.70105,Alison Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.45656,33.70709,-84.4565629,33.7070934,Fruit Veggies & Herbs,Neighborhood Market,gdf_selected,1
-84.45647,33.70039,-84.456471635241,33.700385141978,NEIGHBORHOOD 2070 INC,Grocery Store,df_grocery_selected,1
-84.45643,33.78185,-84.45643,33.78185,H & R Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.45605,33.70752,-84.45605,33.70752,Villa Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.45593,33.70699,-84.45593,33.70699,Dollar Tree 7560,Combination Grocery/Other,snap_atlanta_df,1
-84.45538,33.82124,-84.45538,33.82124,Race Trac 2421,Convenience Store,snap_atlanta_df,1
-84.45387,33.8207,-84.45387,33.8207,Dollar Tree 6839,Combination Grocery/Other,snap_atlanta_df,1
-84.45365,33.75031,-84.45365,33.75031,West View Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.45201,33.77677,-84.45201,33.77677,Family Dollar 6030,Combination Grocery/Other,snap_atlanta_df,1
-84.45174,33.76487,-84.45174,33.76487,Ak Food Store  ,Convenience Store,snap_atlanta_df,1
-84.45147,33.77773,-84.45147,33.77773,Fountain Of Hope 1,Food Buying Co-op,snap_atlanta_df,1
-84.45116,33.82056,-84.45116,33.82056,CVS Pharmacy 4661,Combination Grocery/Other,snap_atlanta_df,1
-84.45002,33.82063,-84.45002,33.82063,Carniceria Ramirez  ,Medium Grocery Store,snap_atlanta_df,1
-84.44992,33.61646,-84.44992,33.61646,U S Amoco ,Convenience Store,snap_atlanta_df,1
-84.44987,33.81853,-84.44987,33.81853,Publix 1226,Supermarket,snap_atlanta_df,1
-84.44985,33.8216,-84.44985,33.8216,Food Mart 0,Convenience Store,snap_atlanta_df,1
-84.44972,33.65124,-84.44972,33.65124,Big AJ Store 2,Convenience Store,snap_atlanta_df,1
-84.44957,33.81941,-84.4495743,33.8194051,Publix Moores Mill Center,Grocery Store,gdf_selected,1
-84.44926,33.61403,-84.44926,33.61403,Fayetville Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.44893,33.61339,-84.44893,33.61339,Ruta Inc  ,Convenience Store,snap_atlanta_df,1
-84.44873,33.77551,-84.44873,33.77551,Best 4 Less  ,Convenience Store,snap_atlanta_df,1
-84.44872,33.77552,-84.448721392289,33.77551553481,Duniya Investment INC,Grocery Store,df_grocery_selected,1
-84.44809,33.66094,-84.44809,33.66094,Eden Fresh Market #11  ,Super Store,snap_atlanta_df,1
-84.44807,33.65891,-84.44807,33.65891,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.44804,33.69895,-84.44804,33.69895,East Point Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.44781,33.75088,-84.44781,33.75088,Quick Mart Food  ,Convenience Store,snap_atlanta_df,1
-84.44657,33.75064,-84.44657,33.75064,Quick Mart  ,Convenience Store,snap_atlanta_df,1
-84.4463,33.67583,-84.4463,33.67583,Washington Seafood Market  ,Seafood Specialty,snap_atlanta_df,1
-84.44582,33.72584,-84.44582,33.72584,Cascade Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.44553,33.66594,-84.44553,33.66594,Stop N Shop Food Mart #2 1,Convenience Store,snap_atlanta_df,1
-84.44553,33.72644,-84.44553,33.72644,A & M Corner  ,Convenience Store,snap_atlanta_df,1
-84.44427,33.6072,-84.44427,33.6072,Wayfield Foods 3,Super Store,snap_atlanta_df,1
-84.44422,33.6696,-84.44422,33.6696,Tienda Y Carniceria El Ejido  ,Convenience Store,snap_atlanta_df,1
-84.44411,33.71146,-84.44411,33.71146,CHEVRON FOOD MART  ,Convenience Store,snap_atlanta_df,1
-84.4437,33.75117,-84.4437,33.75117,Speedzone Chevron  ,Convenience Store,snap_atlanta_df,1
-84.44358,33.75114,-84.44358,33.75114,Speedzone Shell  ,Convenience Store,snap_atlanta_df,1
-84.44318,33.67686,-84.44318,33.67686,Q's Meat Market Inc  ,Meat/Poultry Specialty,snap_atlanta_df,1
-84.44247,33.74849,-84.44247,33.74849,Bp Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.44242,33.65943,-84.44242,33.65943,Exxon Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.44224,33.77327,-84.44224,33.77327,Westlake Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.44165,33.67535,-84.44165,33.67535,CVS Pharmacy 4424,Combination Grocery/Other,snap_atlanta_df,1
-84.44161,33.6592,-84.44161,33.6592,Family Dollar 7189,Combination Grocery/Other,snap_atlanta_df,1
-84.44128,33.67726,-84.44128,33.67726,East Point Food Market  ,Convenience Store,snap_atlanta_df,1
-84.44112,33.77238,-84.44112,33.77238,SOUTHEASTERN MEATS  & FISH  ,Large Grocery Store,snap_atlanta_df,1
-84.4411,33.67868,-84.4411,33.67868,East Point Convenience  ,Convenience Store,snap_atlanta_df,1
-84.44069,33.71255,-84.44068989999998,33.7125514,Campbellton Community Garden,AgLanta Grows-A-Lot Site,gdf_selected,1
-84.44067,33.68335,-84.44067,33.68335,Shell East Point  ,Convenience Store,snap_atlanta_df,1
-84.4387,33.74374,-84.43869610000002,33.74374190000001,Westview Corner Grocery,Neighborhood Market,gdf_selected,1
-84.43861,33.74369,-84.43861,33.74369,Westview Corner Grocery  ,Medium Grocery Store,snap_atlanta_df,1
-84.43824,33.81013,-84.43824,33.81013,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.43763,33.60657,-84.43763,33.60657,One Stop Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.43755,33.73384,-84.43755,33.73384,Cascade Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.43657,33.6112,-84.43657,33.6112,Sun Food Market  ,Convenience Store,snap_atlanta_df,1
-84.4361,33.80174,-84.4361,33.80174,Gas Express LLC dba Circle K 164,Convenience Store,snap_atlanta_df,1
-84.43605,33.61087,-84.43605,33.61087,Kom Pong Thom Market  ,Small Grocery Store,snap_atlanta_df,1
-84.43598,33.60837,-84.43598,33.60837,QUIKTRIP 724,Convenience Store,snap_atlanta_df,1
-84.4359,33.6075,-84.4359,33.6075,International Fresh Seafood  ,Seafood Specialty,snap_atlanta_df,1
-84.43582,33.60734,-84.43582,33.60734,Family Dollar Store 2678,Combination Grocery/Other,snap_atlanta_df,1
-84.43565,33.60655,-84.43565,33.60655,Lee Market & Cafe  ,Small Grocery Store,snap_atlanta_df,1
-84.43497,33.73783,-84.43497,33.73783,Gas Express LLC dba Circle K 142,Convenience Store,snap_atlanta_df,1
-84.43494,33.7303,-84.4349424,33.7302977,West Atlanta Watershed Alliance,Food Forest,gdf_selected,1
-84.43476,33.60667,-84.43476,33.60667,Harbour Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.43446,33.71457,-84.43446,33.71457,Maya Food Market  ,Convenience Store,snap_atlanta_df,1
-84.43398,33.77064,-84.43398,33.77064,Big A Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.43388,33.73865,-84.43388,33.73865,KROGER  412,Super Store,snap_atlanta_df,1
-84.43346,33.77112,-84.43346,33.77112,Chappell Road Inc  ,Convenience Store,snap_atlanta_df,1
-84.43336,33.76331,-84.43336,33.76331,Pick N Pay  ,Convenience Store,snap_atlanta_df,1
-84.43315,33.73781,-84.4331505,33.73780849999999,Kroger Cascade Citi Center,Grocery Store,gdf_selected,1
-84.43298,33.65905,-84.43298,33.65905,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.43227,33.73894,-84.4322723,33.7389376,West End Beltline Farmers Market,Farmers Market,gdf_selected,1
-84.43118,33.90446,-84.43118,33.90446,CVS Pharmacy 4729,Combination Grocery/Other,snap_atlanta_df,1
-84.43096,33.73053,-84.4309579999999,33.73053399999999,Patchwork City Farms,Farm,gdf_selected,1
-84.43057,33.67974,-84.43057,33.67974,Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.43035,33.85077,-84.43035,33.85077,Whole Foods Market 10697,Super Store,snap_atlanta_df,1
-84.43005,33.73488,-84.43005,33.73488,Donnelly Provisions  ,Convenience Store,snap_atlanta_df,1
-84.43003,33.73453,-84.43003,33.73453,Donnelly Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.42999,33.72085,-84.4299891,33.72084869999999,Gilliams Community Garden,Farm,gdf_selected,1
-84.42983,33.85023,-84.42982579999999,33.8502279,Whole Foods 365 Market,Grocery Store,gdf_selected,1
-84.4285,33.59747,-84.4285,33.59747,Bp Garden Walk  ,Convenience Store,snap_atlanta_df,1
-84.42848,33.59982,-84.42848,33.59982,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.42796,33.849,-84.42796,33.849,PUBLIX  0720,Supermarket,snap_atlanta_df,1
-84.42786,33.84739,-84.42786,33.84739,CVS Pharmacy 4665,Combination Grocery/Other,snap_atlanta_df,1
-84.42785,33.84822,-84.42785229999998,33.8482184,Publix West Paces Ferry,Grocery Store,gdf_selected,1
-84.42763,33.60076,-84.42763,33.60076,Family Dollar Store 4220,Combination Grocery/Other,snap_atlanta_df,1
-84.42735,33.78603,-84.42735,33.78603,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.42724,33.60087,-84.42724,33.60087,Super Giant Mart  ,Supermarket,snap_atlanta_df,1
-84.4269,33.72828,-84.4269,33.72828,Oakland City Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.4269,33.80076,-84.4269,33.80076,Gas Express LLC dba Circle K 134,Convenience Store,snap_atlanta_df,1
-84.42609,33.81227,-84.42608819999998,33.81226949999999,Herbs & Kettles (Noble Roots Urban Garden),Farm,gdf_selected,1
-84.42602,33.73856,-84.42602,33.73856,Family Dollar 1728,Combination Grocery/Other,snap_atlanta_df,1
-84.42575,33.81161,-84.42575,33.81161,Ez Market  ,Convenience Store,snap_atlanta_df,1
-84.42568,33.76382,-84.42568,33.76382,Henrys Pack N Sack  ,Convenience Store,snap_atlanta_df,1
-84.42456,33.72061,-84.42456,33.72061,Lee Street Meats & Grocery  ,Small Grocery Store,snap_atlanta_df,1
-84.42456,33.72062,-84.424564831157,33.720616457854,Lee Street Meats LLC,Grocery Store,df_grocery_selected,1
-84.42453,33.72066,-84.42452910000002,33.720659299999994,"Lee Street Meats, Seafood, and Grocery",Meat Market,gdf_selected,1
